,Donor_Id,P_year,Frequency
0,b'0002478',165,11.0
0,b'0002486',157,10.0
0,b'0002491',1,1.0
0,b'0002494',1,1.0
0,b'0002497',1,1.0
0,b'0002498',157,10.0
0,b'0002501',1,1.0
0,b'0002509',72,5.0
0,b'0002510',13,2.0
0,b'0002519',160,11.0
0,b'0002520',58,4.0
0,b'0002523',1,1.0
0,b'0002529',1,1.0
0,b'0002531',2,1.0
0,b'0002544',2,2.0
0,b'0002561',82,16.0
0,b'0002567',356,30.0
0,b'0002570',143,18.0
0,b'0002571',166,11.0
0,b'0002575',155,10.0
0,b'0002578',125,9.0
0,b'0002579',155,10.0
0,b'0002581',55,4.0
0,b'0002586',25,2.0
0,b'0002591',1,1.0
0,b'0002599',164,11.0
0,b'0002606',33,2.0
0,b'0002621',146,10.0
0,b'0002622',105,10.0
0,b'0002624',158,11.0
0,b'0002626',3,3.0
0,b'0002627',6,6.0
0,b'0002631',156,10.0
0,b'0002634',26,2.0
0,b'0002635',20,2.0
0,b'0002647',23,8.0
0,b'0002656',14,7.0
0,b'0002657',3,3.0
0,b'0002665',160,11.0
0,b'0002671',39,8.0
0,b'0002674',10,2.0
0,b'0002676',59,5.0
0,b'0002684',156,10.0
0,b'0002685',157,10.0
0,b'0002698',152,10.0
0,b'0002700',101,10.0
0,b'0002702',150,11.0
0,b'0002706',157,10.0
0,b'0002711',1,1.0
0,b'0002722',33,2.0
0,b'0002723',1,1.0
0,b'0002725',158,11.0
0,b'0002726',41,3.0
0,b'0002728',72,5.0
0,b'0002730',156,10.0
0,b'0002732',156,10.0
0,b'0002739',158,11.0
0,b'0002740',168,11.0
0,b'0002756',159,11.0
0,b'0002758',157,10.0
0,b'0002762',1,1.0
0,b'0002772',56,4.0
0,b'0002776',157,10.0
0,b'0002777',60,5.0
0,b'0002779',4,2.0
0,b'0002784',83,10.0
0,b'0002786',1,1.0
0,b'0002791',156,10.0
0,b'0002798',279,19.0
0,b'0002800',1,1.0
0,b'0002804',58,4.0
0,b'0002810',103,13.0
0,b'0002828',154,10.0
0,b'0002835',155,10.0
0,b'0002836',1,1.0
0,b'0002843',49,4.0
0,b'0002844',58,4.0
0,b'0002848',1,1.0
0,b'0002852',57,4.0
0,b'0002854',1,1.0
0,b'0002856',1,1.0
0,b'0002864',23,2.0
0,b'0002865',1,1.0
0,b'0002867',3,3.0
0,b'0002871',158,11.0
0,b'0002883',21,2.0
0,b'0002885',33,2.0
0,b'0002886',1,1.0
0,b'0002894',139,11.0
0,b'0002897',156,10.0
0,b'0002903',156,10.0
0,b'0002911',58,4.0
0,b'0002913',1,1.0
0,b'0002918',3,3.0
0,b'0002923',1,1.0
0,b'0002937',156,10.0
0,b'0002938',1,1.0
0,b'0002941',156,10.0
0,b'0002943',311,21.0
0,b'0002955',157,10.0
0,b'0002956',27,7.0
0,b'0002957',3,2.0
0,b'0002959',157,10.0
0,b'0002960',159,11.0
0,b'0002961',1,1.0
0,b'0002971',75,5.0
0,b'0002973',58,4.0
0,b'0002980',586,59.0
0,b'0002985',1,1.0
0,b'0002994',40,10.0
0,b'0002995',65,4.0
0,b'0003003',31,4.0
0,b'0003014',134,11.0
0,b'0003019',19,1.0
0,b'0003021',1,1.0
0,b'0003027',35,9.0
0,b'0003032',216,17.0
0,b'0003039',51,4.0
0,b'0003049',295,20.0
0,b'0003053',155,10.0
0,b'0003069',1,1.0
0,b'0003071',1,1.0
0,b'0003074',156,10.0
0,b'0003090',3,3.0
0,b'0003091',158,11.0
0,b'0003097',162,11.0
0,b'0003102',24,4.0
0,b'0003109',56,4.0
